iter	Passed	Remaining
0	16	7964
1	33	7805
2	49	7779
3	66	7783
4	83	7734
5	98	7644
6	113	7514
7	129	7478
8	145	7439
9	162	7471
10	176	7380
11	191	7294
12	205	7207
13	219	7146
14	236	7171
15	249	7086
16	261	6978
17	273	6869
18	285	6767
19	296	6668
20	306	6554
21	317	6469
22	326	6352
23	337	6270
24	347	6190
25	358	6118
26	366	6018
27	377	5954
28	386	5881
29	398	5844
30	408	5787
31	418	5726
32	427	5664
33	435	5586
34	447	5560
35	460	5546
36	469	5500
37	479	5454
38	489	5408
39	498	5356
40	506	5303
41	516	5265
42	525	5219
43	534	5173
44	543	5131
45	553	5099
46	561	5054
47	570	5011
48	578	4968
49	586	4924
50	595	4891
51	605	4863
52	614	4837
53	624	4810
54	634	4788
55	644	4765
56	654	4739
57	665	4725
58	674	4699
59	683	4672
60	694	4654
61	702	4624
62	711	4599
63	720	4572
64	728	4541
65	738	4520
66	748	4500
67	757	4477
68	767	4461
69	776	4439
70	785	4412
71	793	4386
72	802	4363
73	811	4341
74	819	4316
75	828	4292
76	837	4274
77	847	4259
78	856	4239
79	867	4227
80	879	4222
81	892	4224
82	905	4222
83	916	4212
84	927	4202
85	937	4187
86	946	4166
87	954	4145
88	963	4123
89	971	4103
90	980	4083
91	990	4068
92	999	4050
93	1008	4034
94	1017	4015
95	1026	3998
96	1034	3978
97	1042	3958
98	1050	3938
99	1059	3921
100	1068	3905
101	1078	3889
102	1088	3877
103	1097	3863
104	1106	3847
105	1116	3834
106	1125	3817
107	1135	3806
108	1144	3788
109	1152	3773
110	1163	3761
111	1171	3744
112	1181	3732
113	1190	3719
114	1199	3702
115	1208	3686
116	1215	3668
117	1224	3653
118	1233	3639
119	1242	3622
120	1250	3608
121	1259	3592
122	1268	3577
123	1277	3564
124	1289	3559
125	1300	3551
126	1310	3539
127	1320	3527
128	1328	3512
129	1337	3497
130	1345	3481
131	1354	3467
132	1363	3453
133	1371	3439
134	1381	3428
135	1390	3413
136	1398	3400
137	1408	3388
138	1417	3374
139	1426	3361
140	1434	3347
141	1442	3332
142	1452	3320
143	1460	3307
144	1469	3293
145	1477	3278
146	1487	3268
147	1499	3262
148	1509	3251
149	1518	3239
150	1527	3226
151	1535	3212
152	1544	3199
153	1553	3188
154	1563	3177
155	1571	3163
156	1580	3150
157	1589	3139
158	1598	3126
159	1607	3114
160	1615	3101
161	1624	3089
162	1633	3077
163	1641	3063
164	1650	3051
165	1659	3038
166	1667	3025
167	1676	3013
168	1687	3005
169	1700	3000
170	1710	2990
171	1718	2978
172	1727	2965
173	1736	2953
174	1745	2942
175	1754	2930
176	1763	2919
177	1772	2907
178	1780	2895
179	1788	2880
180	1796	2868
181	1806	2857
182	1814	2845
183	1823	2835
184	1832	2823
185	1840	2810
186	1850	2800
187	1859	2789
188	1867	2776
189	1875	2764
190	1885	2753
191	1894	2742
192	1904	2733
193	1915	2725
194	1925	2715
195	1934	2704
196	1943	2693
197	1952	2681
198	1961	2670
199	1970	2659
200	1979	2648
201	1988	2637
202	1996	2625
203	2005	2614
204	2014	2604
205	2024	2595
206	2034	2584
207	2043	2574
208	2052	2563
209	2063	2554
210	2073	2545
211	2082	2534
212	2090	2522
213	2099	2511
214	2109	2501
215	2119	2491
216	2128	2482
217	2139	2472
218	2148	2461
219	2157	2451
220	2167	2442
221	2176	2431
222	2185	2420
223	2193	2409
224	2201	2397
225	2211	2387
226	2219	2376
227	2229	2366
228	2239	2356
229	2248	2346
230	2257	2335
231	2266	2325
232	2276	2316
233	2285	2304
234	2294	2294
235	2303	2284
236	2312	2273
237	2322	2264
238	2332	2254
239	2343	2245
240	2353	2236
241	2363	2226
242	2373	2216
243	2383	2207
244	2391	2196
245	2401	2186
246	2410	2175
247	2420	2166
248	2430	2156
249	2440	2147
250	2448	2136
251	2459	2127
252	2467	2116
253	2478	2108
254	2489	2098
255	2497	2088
256	2507	2078
257	2517	2068
258	2526	2058
259	2536	2048
260	2547	2039
261	2556	2029
262	2565	2019
263	2574	2008
264	2584	1999
265	2593	1989
266	2602	1978
267	2612	1969
268	2621	1958
269	2631	1949
270	2641	1939
